,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
99,0.282,100,0,22.0,600,600,180,-1.0,135,1,10,bex_180_-1_135_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
100,0.282,100,0,22.0,600,600,180,-1.0,225,0,10,bex_180_-1_225_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
101,0.282,100,0,22.0,600,600,180,-1.0,225,1,10,bex_180_-1_225_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
102,0.282,100,0,22.0,600,600,180,-1.0,315,0,10,bex_180_-1_315_00.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
103,0.282,100,0,22.0,600,600,180,-1.0,315,1,10,bex_180_-1_315_01.png,0.8119026961336693,5.0,0.036387092604352196,0.011046709185064953,0,0,bex,0,2019_Jun_16_1308,model
104,0.282,100,0,22.0,600,600,180,0.5,45,0,10,bex_180_0.5_45_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,bex,0,2019_Jun_16_1308,model
105,0.282,100,0,22.0,600,600,180,0.5,45,1,10,bex_180_0.5_45_01.png,0.8119026961336693,5.0,0.060150171749133466,0.01822185253516886,0,0,bex,0,2019_Jun_16_1308,model
106,0.282,100,0,22.0,600,600,180,0.5,135,0,10,bex_180_0.5_135_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,bex,0,2019_Jun_16_1308,model
107,0.282,100,0,22.0,600,600,180,0.5,135,1,10,bex_180_0.5_135_01.png,0.8119026961336693,5.0,0.06010569182207334,0.01822043231556836,0,0,bex,0,2019_Jun_16_1308,model
108,0.282,100,0,22.0,600,600,180,0.5,225,0,10,bex_180_0.5_225_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,bex,0,2019_Jun_16_1308,model
109,0.282,100,0,22.0,600,600,180,0.5,225,1,10,bex_180_0.5_225_01.png,0.8119026961336693,5.0,0.06015017174913346,0.018231431851144498,0,0,bex,0,2019_Jun_16_1308,model
110,0.282,100,0,22.0,600,600,180,0.5,315,0,10,bex_180_0.5_315_00.png,0.8119026961336693,5.0,0.06291688574307848,0.018751462636808266,0,0,bex,0,2019_Jun_16_1308,model
111,0.282,100,0,22.0,600,600,180,0.5,315,1,10,bex_180_0.5_315_01.png,0.8119026961336693,5.0,0.06019461677350924,0.018232029815991858,0,0,bex,0,2019_Jun_16_1308,model
112,0.282,100,0,22.0,600,600,180,0.92,45,0,10,bex_180_0.92_45_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
113,0.282,100,0,22.0,600,600,180,0.92,45,1,10,bex_180_0.92_45_01.png,0.8119026961336693,5.0,0.06669449076983322,0.020009232860360864,0,0,bex,0,2019_Jun_16_1308,model
114,0.282,100,0,22.0,600,600,180,0.92,135,0,10,bex_180_0.92_135_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
115,0.282,100,0,22.0,600,600,180,0.92,135,1,10,bex_180_0.92_135_01.png,0.8119026961336693,5.0,0.06665964407495212,0.020000690700885334,0,0,bex,0,2019_Jun_16_1308,model
116,0.282,100,0,22.0,600,600,180,0.92,225,0,10,bex_180_0.92_225_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
117,0.282,100,0,22.0,600,600,180,0.92,225,1,10,bex_180_0.92_225_01.png,0.8119026961336693,5.0,0.06669449076983322,0.020009550866686418,0,0,bex,0,2019_Jun_16_1308,model
118,0.282,100,0,22.0,600,600,180,0.92,315,0,10,bex_180_0.92_315_00.png,0.8119026961336693,5.0,0.069268516087854,0.0205002994100985,0,0,bex,0,2019_Jun_16_1308,model
119,0.282,100,0,22.0,600,600,180,0.92,315,1,10,bex_180_0.92_315_01.png,0.8119026961336693,5.0,0.06671936926274405,0.020018731019806134,0,0,bex,0,2019_Jun_16_1308,model
120,0.282,100,0,22.0,600,600,180,1.62,45,0,10,bex_180_1.62_45_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
121,0.282,100,0,22.0,600,600,180,1.62,45,1,10,bex_180_1.62_45_01.png,0.8119026961336693,5.0,0.07642633979487455,0.022799183339181985,0,0,bex,0,2019_Jun_16_1308,model
122,0.282,100,0,22.0,600,600,180,1.62,135,0,10,bex_180_1.62_135_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
123,0.282,100,0,22.0,600,600,180,1.62,135,1,10,bex_180_1.62_135_01.png,0.8119026961336693,5.0,0.07641346824127841,0.02279453858066964,0,0,bex,0,2019_Jun_16_1308,model
124,0.282,100,0,22.0,600,600,180,1.62,225,0,10,bex_180_1.62_225_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
125,0.282,100,0,22.0,600,600,180,1.62,225,1,10,bex_180_1.62_225_01.png,0.8119026961336693,5.0,0.07642633979487456,0.022799183339182,0,0,bex,0,2019_Jun_16_1308,model
126,0.282,100,0,22.0,600,600,180,1.62,315,0,10,bex_180_1.62_315_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,bex,0,2019_Jun_16_1308,model
