,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,num_flank,flank_distance,target_orientation,flank_orientation,gap,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
93,0.282,100,0,22.0,600,600,1,0.9,270,225,1,10,pachai_01_0.9_270_225_01.png,0.8119026961336693,5.0,0.0664051664455953,0.019964525163744196,0,0,pachai,0,2019_Jun_16_1310,model
94,0.282,100,0,22.0,600,600,1,0.9,270,315,0,10,pachai_01_0.9_270_315_00.png,0.8119026961336693,5.0,0.0689428387005837,0.020447281109958134,0,0,pachai,0,2019_Jun_16_1310,model
95,0.282,100,0,22.0,600,600,1,0.9,270,315,1,10,pachai_01_0.9_270_315_01.png,0.8119026961336693,5.0,0.0664351594729182,0.01997285022323066,0,0,pachai,0,2019_Jun_16_1310,model
96,0.282,100,0,22.0,600,600,1,1.62,0,45,0,10,pachai_01_1.62_00_45_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,pachai,0,2019_Jun_16_1310,model
97,0.282,100,0,22.0,600,600,1,1.62,0,45,1,10,pachai_01_1.62_00_45_01.png,0.8119026961336693,5.0,0.07649494769880498,0.022822984688827857,0,0,pachai,0,2019_Jun_16_1310,model
98,0.282,100,0,22.0,600,600,1,1.62,0,135,0,10,pachai_01_1.62_00_135_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,pachai,0,2019_Jun_16_1310,model
99,0.282,100,0,22.0,600,600,1,1.62,0,135,1,10,pachai_01_1.62_00_135_01.png,0.8119026961336693,5.0,0.07648208889274503,0.022818344775168805,0,0,pachai,0,2019_Jun_16_1310,model
100,0.282,100,0,22.0,600,600,1,1.62,0,225,0,10,pachai_01_1.62_00_225_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,pachai,0,2019_Jun_16_1310,model
101,0.282,100,0,22.0,600,600,1,1.62,0,225,1,10,pachai_01_1.62_00_225_01.png,0.8119026961336693,5.0,0.076494947698805,0.02282298468882785,0,0,pachai,0,2019_Jun_16_1310,model
102,0.282,100,0,22.0,600,600,1,1.62,0,315,0,10,pachai_01_1.62_00_315_00.png,0.8119026961336693,5.0,0.07880911552828054,0.023271064244249188,0,0,pachai,0,2019_Jun_16_1310,model
103,0.282,100,0,22.0,600,600,1,1.62,0,315,1,10,pachai_01_1.62_00_315_01.png,0.8119026961336693,5.0,0.0765163737398408,0.022828342606017793,0,0,pachai,0,2019_Jun_16_1310,model
104,0.282,100,0,22.0,600,600,1,1.62,90,45,0,10,pachai_01_1.62_90_45_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
105,0.282,100,0,22.0,600,600,1,1.62,90,45,1,10,pachai_01_1.62_90_45_01.png,0.8119026961336693,5.0,0.07642633979487456,0.022799183339181996,0,0,pachai,0,2019_Jun_16_1310,model
106,0.282,100,0,22.0,600,600,1,1.62,90,135,0,10,pachai_01_1.62_90_135_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
107,0.282,100,0,22.0,600,600,1,1.62,90,135,1,10,pachai_01_1.62_90_135_01.png,0.8119026961336693,5.0,0.07641346824127841,0.022794538580669644,0,0,pachai,0,2019_Jun_16_1310,model
108,0.282,100,0,22.0,600,600,1,1.62,90,225,0,10,pachai_01_1.62_90_225_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
109,0.282,100,0,22.0,600,600,1,1.62,90,225,1,10,pachai_01_1.62_90_225_01.png,0.8119026961336693,5.0,0.07642633979487456,0.02279918333918199,0,0,pachai,0,2019_Jun_16_1310,model
110,0.282,100,0,22.0,600,600,1,1.62,90,315,0,10,pachai_01_1.62_90_315_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
111,0.282,100,0,22.0,600,600,1,1.62,90,315,1,10,pachai_01_1.62_90_315_01.png,0.8119026961336693,5.0,0.07644778706751235,0.022804546848488143,0,0,pachai,0,2019_Jun_16_1310,model
112,0.282,100,0,22.0,600,600,1,1.62,180,45,0,10,pachai_01_1.62_180_45_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
113,0.282,100,0,22.0,600,600,1,1.62,180,45,1,10,pachai_01_1.62_180_45_01.png,0.8119026961336693,5.0,0.07642633979487455,0.022799183339181985,0,0,pachai,0,2019_Jun_16_1310,model
114,0.282,100,0,22.0,600,600,1,1.62,180,135,0,10,pachai_01_1.62_180_135_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
115,0.282,100,0,22.0,600,600,1,1.62,180,135,1,10,pachai_01_1.62_180_135_01.png,0.8119026961336693,5.0,0.07641346824127841,0.02279453858066964,0,0,pachai,0,2019_Jun_16_1310,model
116,0.282,100,0,22.0,600,600,1,1.62,180,225,0,10,pachai_01_1.62_180_225_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
117,0.282,100,0,22.0,600,600,1,1.62,180,225,1,10,pachai_01_1.62_180_225_01.png,0.8119026961336693,5.0,0.07642633979487456,0.022799183339182,0,0,pachai,0,2019_Jun_16_1310,model
118,0.282,100,0,22.0,600,600,1,1.62,180,315,0,10,pachai_01_1.62_180_315_00.png,0.8119026961336693,5.0,0.0787427374744073,0.023247721649381815,0,0,pachai,0,2019_Jun_16_1310,model
119,0.282,100,0,22.0,600,600,1,1.62,180,315,1,10,pachai_01_1.62_180_315_01.png,0.8119026961336693,5.0,0.07644778706751235,0.02280454684848814,0,0,pachai,0,2019_Jun_16_1310,model
120,0.282,100,0,22.0,600,600,1,1.62,270,45,0,10,pachai_01_1.62_270_45_00.png,0.8119026961336693,5.0,0.07880911552828054,0.02327106424424918,0,0,pachai,0,2019_Jun_16_1310,model
121,0.282,100,0,22.0,600,600,1,1.62,270,45,1,10,pachai_01_1.62_270_45_01.png,0.8119026961336693,5.0,0.076494947698805,0.022822984688827846,0,0,pachai,0,2019_Jun_16_1310,model
122,0.282,100,0,22.0,600,600,1,1.62,270,135,0,10,pachai_01_1.62_270_135_00.png,0.8119026961336693,5.0,0.07880911552828054,0.02327106424424918,0,0,pachai,0,2019_Jun_16_1310,model
123,0.282,100,0,22.0,600,600,1,1.62,270,135,1,10,pachai_01_1.62_270_135_01.png,0.8119026961336693,5.0,0.07648208889274503,0.022818344775168798,0,0,pachai,0,2019_Jun_16_1310,model
124,0.282,100,0,22.0,600,600,1,1.62,270,225,0,10,pachai_01_1.62_270_225_00.png,0.8119026961336693,5.0,0.07880911552828054,0.02327106424424918,0,0,pachai,0,2019_Jun_16_1310,model
125,0.282,100,0,22.0,600,600,1,1.62,270,225,1,10,pachai_01_1.62_270_225_01.png,0.8119026961336693,5.0,0.076494947698805,0.022822984688827857,0,0,pachai,0,2019_Jun_16_1310,model
126,0.282,100,0,22.0,600,600,1,1.62,270,315,0,10,pachai_01_1.62_270_315_00.png,0.8119026961336693,5.0,0.07880911552828054,0.02327106424424918,0,0,pachai,0,2019_Jun_16_1310,model
127,0.282,100,0,22.0,600,600,1,1.62,270,315,1,10,pachai_01_1.62_270_315_01.png,0.8119026961336693,5.0,0.07651637373984081,0.0228283426060178,0,0,pachai,0,2019_Jun_16_1310,model
